X,Y
172.23025291939422,483.91773231014497
168.88456293008704,483.89233766009835
166.10953088171084,483.0627491045575
168.10853107755827,481.82165497305937
171.34514300459844,481.116865813584
174.42154147024024,480.67788343323866
176.8993909206585,479.442024731267
178.07531393566995,477.3305403528767
178.10000000000002,473.66666666666674
178.10000000000002,469.921568627451
178.09933625137162,466.179929330146
177.7883046987978,463.00918503779775
176.15823970204357,460.99574795500655
174.67910049872376,458.69817816800304
173.27192102757132,456.1306445228931
173.17984258261117,452.47687011742164
174.03652554474866,449.45295972447775
175.2943413853347,446.7994609871812
176.37217688622195,444.29560882350984
177.15418493491865,441.4257920633482
177.75982038820888,438.8612545863268
177.12797549555134,435.97338950184144
176.9724927066776,432.51809691104665
176.17418858781684,429.46646760997965
176.0299870783152,425.92049753356787
175.21445039308026,422.98762261448053
174.3795019920884,420.3212288560035
173.08175780255735,417.70977734119634
172.18455691558745,414.78191658198585
171.43794684373088,411.86106023709397
171.10138195822555,408.2742631050171
171.17238151848824,404.5526476109577
172.01891800531217,401.51193482426277
172.9644686743353,398.7021749579558
173.87813974364417,395.87678956624484
174.09954477623359,392.54659925777503
174.09794504724715,388.8128357901983
173.72294709274527,385.685500373364
172.50208465583782,383.1802267839256
171.0653834859075,381.0011375475768
168.91132403513132,379.54495087479404
166.44686523578986,378.2014897618245
164.15905805665463,376.8911463445411
161.36364099308412,375.94072592409447
158.5560726706376,374.99322773841914
155.73784177378266,374.07291888095625
152.65395250532669,373.38401393211063
149.6747024796752,372.6985522223771
146.9394020272451,371.56525185093045
144.0845576579036,370.8855483921708
140.96298886231602,370.0526197009988
138.39075862586816,368.9491659809371
135.63067941673378,367.88649763090103
133.54568459717984,365.94448130750663
134.12907720553204,363.06312764060476
136.26335309191734,361.2940360063248
138.4595027691486,359.79075850844544
140.92764425182602,358.44896082305803
143.4280963329219,357.20225740895637
145.87655696706076,355.94169565011543
148.0914739794308,354.39227079309717
150.56515521635117,353.1196364766311
152.58396827758435,351.513855213795
154.45685204856338,349.6431479514367
156.32938643080803,347.77061356919205
158.20194333207297,345.8980566679271
160.07450698904404,344.02549301095604
161.94696959707892,342.1529181263254
163.68967466592323,340.2346773171758
164.75445306652875,337.5743305537206
166.08205485984308,335.25981103966967
167.4427855301717,332.6846101907226
169.40984557246992,330.82674793476707
171.97510880940473,329.50912491988436
175.43417988173746,329.07762644389993
178.38019793212075,328.3786718972824
182.00003817404257,328.10034356638306
185.6471450922548,328.0674153220965
188.58895618593507,327.32910114387596
192.23532330956198,327.1002627272341
195.97634004818497,327.0992170943077
199.18715391709577,326.7793199288757
202.38447817901135,326.08975097945563
203.97725549727954,324.8810912466255
202.15104760806307,323.58553828846215
199.23817490401743,322.917225883047
195.54901960784315,322.9
191.80597652138033,322.8910857784293
188.42904430468906,322.30043155739725
185.30252418746693,321.899633917369
181.91203269196944,321.230609241554
179.88861116681483,319.5588610234143
177.0425535197818,318.909883366506
173.3341324185148,318.8969310299629
170.1742669262099,318.25066451389586
171.3030153645707,316.42699523424255
174.59035436530127,315.9577278733877
177.5746765294121,315.13164682846923
179.97752955189003,314.0814105661662
181.0627151420655,311.7502258838447
181.09999550893622,308.11760663924906
181.10000000000002,304.37254901960785
181.08008880049323,300.6908278411736
180.3514979194747,297.89510040179584
178.86264665167795,295.76687821781013
177.20364097242066,293.57206213609606
175.7051126392609,291.3151230436077
175.10446984590672,287.901350104361
175.42433048181135,284.2994510680859
177.07834002983748,282.003681873973
178.50881267869403,279.8066954900087
179.7275765083656,277.3009371380326
180.0980707624899,274.16803516086935
180.10000000000002,270.43137254901967
180.10000000000002,266.6862745098039
180.10000000000002,262.9411764705883
180.0993511460046,259.1994630024373
179.8198532322736,255.9392176281777
179.11867934192634,252.71186699647097
178.69658868082607,249.61827115643607
177.46907850091912,247.11152775337737
176.29772385100597,244.45371623683198
175.37479025520776,241.6023778518345
175.09245977839214,238.01072604589956
174.52197152426234,235.03290725075408
174.835737322426,232.01826744480704
175.27610311163548,228.81218070664502
176.39145137732302,226.03238348636924
177.36302782161425,223.32784911794926
178.3003988541281,220.53031812738763
179.05152498642826,217.71538955601264
178.43081837062965,214.88945706855483
177.38801342482523,212.33479703142257
175.8944438318236,210.0442084481296
174.19186283900856,208.0922445794341
172.28584103096208,206.31401690918432
169.89808558431068,205.029993533694
167.33180439422705,203.9330829873592
164.52646779716784,202.9851505362153
161.71601635467522,202.04052871488
158.89131616440451,201.12343930537705
155.8196233514961,200.44365691936054
152.9940424619362,199.522594146757
150.18781351537572,198.5937137901262
147.39018821247367,197.65641311761235
144.50833241242142,196.91306153056584
141.28395906925087,196.20449135181855
138.76927391559587,194.96511296037522
136.3044168395641,193.6116227990354
135.34145667656657,190.69178860420897
137.12473543580668,188.37412595596388
139.24310358117805,186.85326936213724
141.45732889160237,185.20099339406923
143.94966144992426,183.94439525842535
146.3335399062273,182.65387957072787
148.59222098610334,181.1131658478783
150.60360666486835,179.49437998725597
152.4764621436027,177.62353785639732
154.34899652584733,175.7510034741527
156.22125924969117,173.87841889073434
157.9133384483892,171.9209552550532
159.1749278038645,169.48051118833877
160.09722108527598,166.8167406575066
160.90887554476183,163.79460111773403
161.61394377275553,160.71896135289543
163.27565456824368,158.38526902710333
165.96403133954,157.1686419077845
168.86730800946046,156.26307417195807
172.53150430633247,156.09583711457975
175.6102940178056,155.63276971865363
179.03998369733384,155.10397793783193
182.78100332527134,155.09936604063762
186.04674108901415,154.82435693265114
189.27995906822878,154.1218416650977
193.01960110654153,154.09999925148938
196.66142744817978,154.06609929176267
198.78007449002985,153.00446982680347
198.07713137865028,151.25950619654935
195.14991687763154,150.56842425351934
192.20261227895327,149.91589033566817
188.50980392156862,149.90000000000003
184.76492279199144,149.89876638346627
181.1714396783064,149.57175734931118
178.2577597600067,148.79859002790414
175.8173240151725,147.26099715640203
173.22569790147156,146.2348550720449
170.03416849536268,145.90071913761935
166.54972110125834,145.54252136176459
166.78181466038166,143.68325514400271
170.03263520452546,143.03981849496557
172.64166355601296,142.07981328149503
174.54747053830164,140.4242886911452
175.09553475082635,137.5504207782438
175.10000000000002,133.82352941176475
175.09926177820665,130.08226096868918
174.79228643844394,126.85783530647225
173.84828575406223,124.10174043104635
172.22125924969117,122.12158110926568
170.35936708412288,120.22325915666343
169.6791710141325,117.636070964533
170.10900719076707,114.59218634256587
170.78998728673707,111.297469026758
172.2286519733488,108.8863587630572
173.60973302153724,106.6105295990206
174.79701774267002,104.09749980898079
175.0880756476304,100.91817565432285
174.47133946910972,97.9516858421628
174.10182698330092,94.39182079604262
174.09969372256353,90.64873746513852
173.92332569374958,87.26288155337775
173.0068044475384,84.44363765574535
172.13963698296524,81.47407498069059
171.28329010318444,78.74213906209555
170.2048279699444,75.91878971272688
169.48253321912964,72.98188739108645
169.07540061029388,69.51252086456532
168.3678095088481,66.56788899259617
168.45495924652698,63.109869746418994
169.65010007676395,60.488612067987
170.58696833518025,57.71644383741791
171.51054840267807,54.90611814486659
172.09297418947125,51.93368902624623
171.97028138469153,48.50261996402661
171.16818940660858,45.464406112093044
170.62153147072064,42.460308295615945
169.2658170332526,40.19651331152975
167.38946103695508,38.39784831191685
165.0269848287702,37.094385329565924
